Grunerite    (Fe6.1 Mg.9) Si8 O23.5 F.5
Zn       43.348
O        31.819
 
Humite    (Mg6.601 Fe.399) Si3 O13 F H2
Mg       32.347
Fe        4.493
Si       16.988
O        41.935
F         3.830
H         0.406
 
Nasonite    Pb6 Ca4 Cl2 Si6 O21
Pb       62.822
Ca        8.101
Cl        3.583
Si        8.515
O        16.978
 
Fluorapophyllite    (K.84 Na.16) Ca4 Si8 O28 F H16
K         3.631
Na        0.407
Ca       17.721
Si       24.837
O        49.521
F         2.100
H         1.783
 
Fluorapophyllite    K Ca4 Si8 O28 F H16
K         4.310
Ca       17.671
Si       24.767
O        49.381
F         2.094
H         1.778
 
Fluorapophyllite    K Ca4 Si8 O28 F H16
K         4.310
Ca       17.671
Si       24.767
O        49.381
F         2.094
H         1.778
 
Seamanite    Mn3 P B (O10 H6)
Mn       44.229
P         8.312
B         2.901
O        42.935
H         1.623
 
Arsenoclasite    Mn5 As2 (O12 H4)
Mn       44.265
As       24.147
O        30.939
H         0.650
 
Aksaite    Mg B6 O15 H9
Mg        7.186
B        19.178
O        70.954
H         2.682
 
Paracoquimbite    Fe2 S3 O21 H9
Fe       20.200
S        17.397
O        60.763
H         1.641
 
Naumannite    Ag2 Se
Ag       73.206
Se       26.794
 
Acanthite    Ag2 S
Ag       87.060
S        12.940
 
Yavapaiite    Fe K S2 O8
Fe       19.454
K        13.620
S        22.340
O        44.586
 
Goldichite    Fe K S2 O12 H8
Fe       15.550
K        10.887
S        17.857
O        53.460
H         2.245
 
Veatchite    Sr2 B11 O22 H7
Sr       26.828
B        18.206
O        53.886
H         1.080
 
Alluaudite    Na.625 Mn1.125 Ca.125 Mg.049 Li.025 Fe1.976 P3 O12
Na        3.007
Mn       12.935
Ca        1.048
Mg        0.249
Li        0.036
Fe       23.095
P        19.447
O        40.181
 
Pararammelsbergite    Ni As2
Ni       28.144
As       71.856
 
Sarcopside    (Fe2.34 Mn.63 Mg.03) P2 O8
Fe       36.712
Mn        9.723
Mg        0.205
P        17.403
O        35.957
 
Heterosite    (Fe.65 Mn.35) P O4
Fe       24.120
Mn       12.776
P        20.581
O        42.523
 
Mn2GeO4-beta    Mn2 Ge O4
Mn       44.577
Ge       29.458
O        25.964
 
Mn2GeO4-delta    Mn2 Ge O4
Mn       44.577
Ge       29.458
O        25.964
 
Talnakhite    Fe7.06 Cu10.06 S16
Fe       25.493
Cu       41.334
S        33.173
 
Gowerite    Ca B6 O15 H10
Ca       11.289
B        18.271
O        67.600
H         2.839
 
Leucophosphite    K Fe2 P2 O11 H5
K         9.929
Fe       28.365
P        15.732
O        44.694
H         1.280
 
Connellite    Cu9.048 S.133 Cl2.001 N.034 O36.699 H33
Cu       45.235
S         0.336
Cl        5.581
N         0.037
O        46.194
H         2.617
 
Forsterite    Si Mg2 O4
Si       19.962
Mg       34.550
O        45.487
 
Wadsleyite    Si Mg2 O4
Si       19.962
Mg       34.550
O        45.487
 
Ringwoodite    Si Mg2 O4
Si       19.962
Mg       34.550
O        45.487
 
Ringwoodite    Si Mg2 O4
Si       19.962
Mg       34.550
O        45.487
 
Mg2SiO4    Si Mg2 O4
Si       19.962
Mg       34.550
O        45.487
 
Mg2SiO4    Si Mg2 O4
Si       19.962
Mg       34.550
O        45.487
 
Mg2SiO4    Si Mg2 O4
Si       19.962
Mg       34.550
O        45.487
 
Mg2SiO4    Si Mg2 O4
Si       19.962
Mg       34.550
O        45.487
 
Mg2SiO4    Si Mg2 O4
Si       19.962
Mg       34.550
O        45.487
 
Pyrophyllite    Al Si2 O6 H
Al       14.977
Si       31.179
O        53.285
H         0.559
 
Pyrophyllite-1Tc    Al2 Si4 O11
Al       15.765
Si       32.820
O        51.415
 
Carletonite    Si7.748 Al.112 Ca3.76 K.882 Na3.658 C4 O31.373 F.41 H3.1
Si       20.708
Al        0.288
Ca       14.341
K         3.282
Na        8.003
C         4.572
O        47.768
F         0.741
H         0.297
 
Pyrrhotite    Fe7 S8
Fe       60.379
S        39.621
 
Mendozite    Na Al S2 O19 H22
Na        5.222
Al        6.128
S        14.567
O        69.046
H         5.037
 
Zunyite    Si5 Al13 O34.16 H18 F3.84 Cl
Si       12.061
Al       30.127
O        46.942
H         1.558
F         6.266
Cl        3.045
 
Kainite    K4 S4 Mg4 Cl4 O27 H22
K        15.994
S        13.117
Mg        9.942
Cl       14.502
O        44.177
H         2.268
 
Natrophilite    Na (Mn.93 Fe.07) P O4
Na       13.292
Mn       29.540
Fe        2.260
P        17.908
O        37.001
 
Eudidymite    Na Be Si3 O8 H
Na        9.374
Be        3.675
Si       34.354
O        52.187
H         0.411
 
Merwinite    Ca3 Mg Si2 O8
Ca       36.578
Mg        7.394
Si       17.089
O        38.939
 
Yavapaiite    Fe K S2 O8
Fe       19.454
K        13.620
S        22.340
O        44.586
 
Nepheline    Na3 K (Al3.6 Si4.4) O15.999
Na       11.795
K         6.686
Al       16.611
Si       21.133
O        43.775
 
RbFeSi3O8    Rb (Si2.912 Fe1.088) O8
Rb       24.007
Si       22.973
Fe       17.067
O        35.953
 
Tilasite    As Ca Mg O4 F
As       33.703
Ca       18.029
Mg       10.933
O        28.789
F         8.546
 
Kernite    Na2 B4 O11
Na       17.337
B        16.305
O        66.358
 
Kernite    Na2 B4 O11 H8
Na       16.825
B        15.824
O        64.400
H         2.951
 
Hydroxylclinohumite    Mg8.42 Fe.58 Si4 O18 H1.582
Mg       32.028
Fe        5.069
Si       17.582
O        45.071
H         0.250
 
Titanoclinohumite    (Mg7.44 Fe1.09 Ti.47) Si4 O18 H2
Mg       27.129
Fe        9.133
Ti        3.376
Si       16.854
O        43.206
H         0.302
 
Elpidite    Zr Si6 Na2 O18 H6
Zr       15.210
Si       28.097
Na        7.666
O        48.018
H         1.008
 
Ezcurrite    Na2 B5 H5 O12
Na       15.478
B        18.196
H         1.696
O        64.629
 
Kogarkoite    Na3 S O4 F
Na       37.477
S        17.424
O        34.775
F        10.323
 
Maucherite    Ni11 As8
Ni       51.856
As       48.144
 
Eitelite    Na2 Mg C2 O6
Na       24.161
Mg       12.772
C        12.623
O        50.444
 
Epidote    Si3 Ca2 Al2.16 Fe.84 H O13
Si       17.605
Ca       16.748
Al       12.177
Fe        9.802
H         0.211
O        43.458
 
Epidote    Ca2 Si3 Al2.6 Fe.4 O13 H
Ca       17.204
Si       18.085
Al       15.057
Fe        4.795
O        44.643
H         0.216
 
Fassaite    Al.86 Si1.27 O6 Mg.39 Ti.48 Ca
Al       10.204
Si       15.685
O        42.213
Mg        4.168
Ti       10.106
Ca       17.624
 
Phlogopite    K Mg3 (Al Si3) O10 F2
K         9.282
Mg       17.310
Al        6.405
Si       20.002
O        37.981
F         9.020
 
Sanidine    (Si3 Al) K O8
Si       30.272
Al        9.694
K        14.047
O        45.987
 
Orthoclase    (Si2.98 Al1.02) K O8
Si       30.073
Al        9.889
K        14.048
O        45.990
 
Hureaulite    Mn5 P4 O20 H6
Mn       37.908
P        17.098
O        44.159
H         0.835
 
Copiapite    Fe4.69 S6 O46 H42
Fe       21.249
S        15.609
O        59.708
H         3.434
 
Cavansite    Ca V Si4 O15 H8
Ca        8.878
V        11.285
Si       24.887
O        53.164
H         1.786
 
Pentagonite    Si4 Ca V O15 H8
Si       24.887
Ca        8.878
V        11.285
O        53.164
H         1.786
 
Parkerite    Ni1.5 Bi S
Ni       26.752
Bi       63.504
S         9.744
 
Latiumite    Si2.15 Al2.85 Ca3 K.85 S.71 C.3 O14.67
Si       10.942
Al       13.935
Ca       21.788
K         6.022
S         4.126
C         0.653
O        42.533
 
Orthoclase    Si3 Al K O8
Si       30.272
Al        9.694
K        14.047
O        45.987
 
Tincalconite    Na B2 O6 H5
Na       15.784
B        14.845
O        65.910
H         3.460
 
Kornelite    Fe2 S3 O19.25 H15.34
Fe       21.021
S        18.105
O        57.964
H         2.910
 
Forsterite    Si Mg1.64 Fe.35 Ca.01 O4
Si       18.491
Mg       26.243
Fe       12.869
Ca        0.264
O        42.134
 
Forsterite    Si (Mg1.42 Fe.58) O4
Si       17.665
Mg       21.708
Fe       20.373
O        40.253
 
Forsterite    Si Mg1.38 Fe.61 Ca.01 O4
Si       17.543
Mg       20.951
Fe       21.280
Ca        0.250
O        39.976
 
Forsterite    Si Mg1.38 Fe.61 Ca.01 O4
Si       17.543
Mg       20.951
Fe       21.280
Ca        0.250
O        39.976
 
Forsterite    Si Mg1.38 Fe.61 Ca.01 O4
Si       17.543
Mg       20.951
Fe       21.280
Ca        0.250
O        39.976
 
Forsterite    Mg2 Si O4
Mg       34.550
Si       19.962
O        45.487
 
Forsterite    Mg2 Si O4
Mg       34.550
Si       19.962
O        45.487
 
Forsterite    Mg2 Si O4
Mg       34.550
Si       19.962
O        45.487
 
Forsterite    Mg2 Si O4
Mg       34.550
Si       19.962
O        45.487
 
Forsterite    (Fe1.1 Mg.75 Mn.15) Si O4
Fe       34.132
Mg       10.128
Mn        4.579
Si       15.604
O        35.557
 
Forsterite    (Fe1.1 Mg.75 Mn.15) Si O4
Fe       34.132
Mg       10.128
Mn        4.579
Si       15.604
O        35.557
 
Forsterite    (Fe1.1 Mg.75 Mn.15) Si O4
Fe       34.132
Mg       10.128
Mn        4.579
Si       15.604
O        35.557
 
Forsterite    (Fe1.1 Mg.75 Mn.15) Si O4
Fe       34.132
Mg       10.128
Mn        4.579
Si       15.604
O        35.557
 
Aegirine    Si2 Fe Na O6
Si       24.316
Fe       24.176
Na        9.952
O        41.556
 
Aegirine    Si2 Fe Na O6
Si       24.316
Fe       24.176
Na        9.952
O        41.556
 
Aegirine    Si2 Fe Na O6
Si       24.316
Fe       24.176
Na        9.952
O        41.556
 
Aegirine    Si2 Fe Na O6
Si       24.316
Fe       24.176
Na        9.952
O        41.556
 
Diopside    Si2 Mg Ca O6
Si       25.939
Mg       11.224
Ca       18.507
O        44.330
 
Diopside    Si2 Mg Ca O6
Si       25.939
Mg       11.224
Ca       18.507
O        44.330
 
Diopside    Si2 Mg Ca O6
Si       25.939
Mg       11.224
Ca       18.507
O        44.330
 
Diopside    Si2 Mg Ca O6
Si       25.939
Mg       11.224
Ca       18.507
O        44.330
 
Diopside    Si2 Mg Ca O6
Si       25.939
Mg       11.224
Ca       18.507
O        44.330
 
Hedenbergite    Si2 Fe Ca O6
Si       22.641
Fe       22.511
Ca       16.154
O        38.694
 
Hedenbergite    Si2 Fe Ca O6
Si       22.641
Fe       22.511
Ca       16.154
O        38.694
 
Hedenbergite    Si2 Fe Ca O6
Si       22.641
Fe       22.511
Ca       16.154
O        38.694
 
Hedenbergite    Si2 Fe Ca O6
Si       22.641
Fe       22.511
Ca       16.154
O        38.694
 
Hedenbergite    Si2 Fe Ca O6
Si       22.641
Fe       22.511
Ca       16.154
O        38.694
 
Hedenbergite    Si2 Fe Ca O6
Si       22.641
Fe       22.511
Ca       16.154
O        38.694
 
Jadeite    Si2 Al Na O6
Si       27.788
Al       13.348
Na       11.373
O        47.490
 
Jadeite    Si2 Al Na O6
Si       27.788
Al       13.348
Na       11.373
O        47.490
 
Jadeite    Si2 Al Na O6
Si       27.788
Al       13.348
Na       11.373
O        47.490
 
Jadeite    Si2 Al Na O6
Si       27.788
Al       13.348
Na       11.373
O        47.490
 
Spodumene    Si2 Al Li O6
Si       30.185
Al       14.499
Li        3.730
O        51.586
 
Spodumene    Si2 Al Li O6
Si       30.185
Al       14.499
Li        3.730
O        51.586
 
Spodumene    Si2 Al Li O6
Si       30.185
Al       14.499
Li        3.730
O        51.586
 
Spodumene    Si2 Al Li O6
Si       30.185
Al       14.499
Li        3.730
O        51.586
 
Kosmochlor    Si2 Cr Na O6
Si       24.728
Cr       22.890
Na       10.121
O        42.261
 
Kosmochlor    Si2 Cr Na O6
Si       24.728
Cr       22.890
Na       10.121
O        42.261
 
Kosmochlor    Si2 Cr Na O6
Si       24.728
Cr       22.890
Na       10.121
O        42.261
 
Ferrohypersthene    Si2 Mg.636 Fe1.331 Ca.032 O6
Si       23.093
Mg        6.355
Fe       30.559
Ca        0.527
O        39.466
 
Ferrohypersthene    Mg.635 Fe1.332 Ca.032 Si2 O6
Mg        6.344
Fe       30.578
Ca        0.527
Si       23.090
O        39.461
 
Ferrohypersthene    Si2 Mg.636 Fe1.331 Ca.032 O6
Si       23.093
Mg        6.355
Fe       30.559
Ca        0.527
O        39.466
 
Ferrohypersthene    Si2 Mg.635 Fe1.332 Ca.032 O6
Si       23.090
Mg        6.344
Fe       30.578
Ca        0.527
O        39.461
 
Ferrohypersthene    Si2 Mg.636 Fe1.332 Ca.032 O6
Si       23.088
Mg        6.354
Fe       30.575
Ca        0.527
O        39.457
 
Ferrohypersthene    Mg1.318 Fe.65 Ca.032 Si2 O6
Mg       14.444
Fe       16.367
Ca        0.578
Si       25.327
O        43.284
 
Tremolite    Si8 Mg5 Ca2 O24 H2
Si       27.658
Mg       14.959
Ca        9.867
O        47.268
H         0.248
 
Tremolite    Si8 Mg5 Ca2 O24 H2
Si       27.658
Mg       14.959
Ca        9.867
O        47.268
H         0.248
 
Anorthite    Ca Si2 Al2 O8
Ca       14.406
Si       20.190
Al       19.397
O        46.007
 
Anorthite    Ca Si2 Al2 O8
Ca       14.406
Si       20.190
Al       19.397
O        46.007
 
Natrolite    Si3 Al2 Na2 O12 H4
Si       22.160
Al       14.192
Na       12.093
O        50.495
H         1.060
 
Natrolite    Si3 Al2 Na2 O12 H4
Si       22.160
Al       14.192
Na       12.093
O        50.495
H         1.060
 
Natrolite    Si3 Al2 Na2 O12 H4
Si       22.160
Al       14.192
Na       12.093
O        50.495
H         1.060
 
Natrolite    Si3 Al2 Na2 O12 H4
Si       22.160
Al       14.192
Na       12.093
O        50.495
H         1.060
 
Eucryptite    Si Al Li O4
Si       22.289
Al       21.413
Li        5.508
O        50.789
 
Eucryptite    Si Al Li O4
Si       22.289
Al       21.413
Li        5.508
O        50.789
 
Eucryptite    Si Al Li O4
Si       22.289
Al       21.413
Li        5.508
O        50.789
 
Eucryptite    Si Al Li O4
Si       22.289
Al       21.413
Li        5.508
O        50.789
 
Eucryptite    Si Al Li O4
Si       22.289
Al       21.413
Li        5.508
O        50.789
 
Eucryptite    Si Al Li O4
Si       22.289
Al       21.413
Li        5.508
O        50.789
 
Boracite    Mg3 B7 O13 Cl
Mg       18.599
B        19.304
O        53.054
Cl        9.043
 
Hanksite    K Na22 C2 S9 O42 Cl
K         2.498
Na       32.320
C         1.535
S        18.441
O        42.940
Cl        2.265
 
Tremolite    Si8 Mg5 Ca2 O22 F2
Si       27.523
Mg       14.886
Ca        9.819
O        43.117
F         4.654
 
Phlogopite    (Al1.048 Si2.952) Mg3 K.77 Na.16 Ba.05 O10.7 F1.3 H2
Al        6.690
Si       19.616
Mg       17.252
K         7.123
Na        0.870
Ba        1.625
O        40.504
F         5.843
H         0.477
 
Annite    Al1.282 Si2.808 Fe2.43 Ti.21 Mg.12 Mn.03 K.88 Na.07 Ca.03 O11.73 F.22 Cl.05 H2
Al        6.965
Si       15.879
Fe       27.325
Ti        2.025
Mg        0.587
Mn        0.332
K         6.928
Na        0.324
Ca        0.242
O        37.788
F         0.842
Cl        0.357
H         0.406
 
Datolite    Ca Si B O5 H
Ca       25.052
Si       17.556
B         6.758
O        50.005
H         0.630
 
Callaghanite    Cu2 Mg2 C O11 H10
Cu       34.001
Mg       13.005
C         3.213
O        47.084
H         2.697
 
Magnesite    Mg C O3
Mg       28.827
C        14.246
O        56.928
 
Teruggite    Mg As2 Ca4 B12 O48 H40
Mg        1.910
As       11.776
Ca       12.598
B        10.195
O        60.352
H         3.168
 
Scawtite    Ca7 Si6 C O23 H.12
Ca       33.834
Si       20.323
C         1.449
O        44.380
H         0.015
 
Crandallite    Ca1.002 P2 Al3 O14
Ca        9.866
P        15.219
Al       19.886
O        55.029
 
Roweite    Ca2 Mn2 B4 O13 H6
Ca       17.919
Mn       24.563
B         9.667
O        46.498
H         1.352
 
Bikitaite    Si2 Al Li O7 H
Si       27.657
Al       13.285
Li        3.418
O        55.144
H         0.496
 
Danburite    Ca B2 Si2 O8
Ca       16.301
B         8.794
Si       22.846
O        52.059
 
Howieite    Si11.92 Ti.08 Fe8 Mn2.98 Mg.45 Al.62 Na O44
Si       19.650
Ti        0.225
Fe       26.223
Mn        9.609
Mg        0.642
Al        0.982
Na        1.349
O        41.320
 
Wyllieite    Na2.31 Ca.5 Mn.5 Fe4 Mg.5 Al1.5 P6 O24
Na        5.611
Ca        2.117
Mn        2.902
Fe       23.603
Mg        1.284
Al        4.276
P        19.636
O        40.571
 
Jagowerite    Ba Al2 P2 O10 H2
Ba       33.071
Al       12.995
P        14.918
O        38.530
H         0.485
 
Ussingite    Al Si3 Na2 H O9
Al        8.928
Si       27.879
Na       15.214
H         0.334
O        47.646
 
Butschliite    Ca K2 C2 O6
Ca       16.819
K        32.815
C        10.081
O        40.285
 
Co2SiO4    Si Co2 O4
Si       13.377
Co       56.140
O        30.482
 
Co2SiO4    Si Co2 O4
Si       13.377
Co       56.140
O        30.482
 
Co2SiO4    (Si Co2) O4
Si       13.377
Co       56.140
O        30.482
 
Fe2SiO4    (Fe2.001 Si.999) O4
Fe       54.832
Si       13.767
O        31.401
 
Ni2SiO4    (Ni1.985 Si1.015) O4
Ni       55.740
Si       13.639
O        30.620
 
Tschermakite    Si Al2 Ca O6
Si       12.876
Al       24.740
Ca       18.374
O        44.010
 
Bjarebyite    (Ba.9 Sr.1) (Mn.9 Fe.9 Mg.2) Al2 P3 O15 H3
Ba       19.718
Sr        1.398
Mn        7.888
Fe        8.019
Mg        0.775
Al        8.609
P        14.824
O        38.287
H         0.482
 
Veszelyite    Cu2 Zn P O9 H7
Cu       33.936
Zn       17.460
P         8.271
O        38.449
H         1.884
 
Quenstedtite    Fe2 S3 O23 H22
Fe       18.676
S        16.085
O        61.531
H         3.708
 
Montgomeryite    Ca2 Mg.5 Al2 P3 O20 H14
Ca       13.982
Mg        2.120
Al        9.413
P        16.208
O        55.816
H         2.461
 
Whitmoreite    Fe2.59 Mn.27 P2 O14 H10
Fe       31.755
Mn        3.257
P        13.600
O        49.175
H         2.213
 
Hydroxyl-herderite    Ca P Be O5 H
Ca       24.883
P        19.230
Be        5.595
O        49.666
H         0.626
 
Jahnsite-(CaMnMg)    Ca Mn Mg2 Fe2 P4 O26 H18
Ca        4.928
Mn        6.755
Mg        5.977
Fe       13.733
P        15.233
O        51.145
H         2.231
 
Trolleite    Al4 P3 O15 H3
Al       24.315
P        20.935
O        54.069
H         0.681
 
Pinakiolite    Mn2.16 Mg3.62 Fe.02 B2 O10
Mn       30.475
Mg       22.596
Fe        0.287
B         5.553
O        41.089
 
Warwickite    (Mg1.58 Ti.42) B O4
Mg       28.804
Ti       15.084
B         8.109
O        48.003
 
Biringuccite    Na2 B5 O10 H3
Na       17.479
B        20.549
O        60.822
H         1.150
 
Wodginite    Ta2.12 Sn.47 Fe.01 Nb.3 Mn O8
Ta       58.947
Sn        8.574
Fe        0.086
Nb        4.283
Mn        8.442
O        19.668
 
Clinohypersthene    Fe1.337 Mg.631 Ca.032 Si2 O6
Fe       30.670
Mg        6.300
Ca        0.527
Si       23.073
O        39.431
 
Clinohypersthene    Mg.636 Fe1.332 Ca.032 Si2 O6
Mg        6.354
Fe       30.575
Ca        0.527
Si       23.088
O        39.457
 
Clinohypersthene    Mg.636 Fe1.332 Ca.032 Si2 O6
Mg        6.354
Fe       30.575
Ca        0.527
Si       23.088
O        39.457
 
Clinohypersthene    Mg.636 Fe1.332 Ca.032 Si2 O6
Mg        6.354
Fe       30.575
Ca        0.527
Si       23.088
O        39.457
 
Clinohypersthene    Mg.636 Fe1.333 Ca.032 Si2 O6
Mg        6.352
Fe       30.591
Ca        0.527
Si       23.082
O        39.448
 
Clinohypersthene    Mg.636 Fe1.332 Ca.032 Si2 O6
Mg        6.354
Fe       30.575
Ca        0.527
Si       23.088
O        39.457
 
Clinohypersthene    Mg.636 Fe1.332 Ca.032 Si2 O6
Mg        6.354
Fe       30.575
Ca        0.527
Si       23.088
O        39.457
 
Yedlinite    Pb6 Cl6 Cr O8 H4
Pb       75.808
Cl       12.971
Cr        3.171
O         7.805
H         0.246
 
Gillespite    Ba Fe Si4 O10
Ba       29.500
Fe       11.997
Si       24.133
O        34.370
 
Gillespite    Ba Fe Si4 O10
Ba       29.500
Fe       11.997
Si       24.133
O        34.370
 
Hurlbutite    Ca P2 Be2 O8
Ca       16.158
P        24.974
Be        7.267
O        51.602
 
Stewartite    Mn Fe2 P2 O18 H18
Mn       10.274
Fe       20.889
P        11.585
O        53.859
H         3.393
 
Chevkinite    Nd4 Si4 Mg1.999 Ti3.001 O22
Nd       46.772
Si        9.107
Mg        3.939
Ti       11.648
O        28.534
 
Chevkinite    Nd4 Si4 Co2 Ti3 O22
Nd       44.286
Si        8.623
Co        9.047
Ti       11.026
O        27.018
 
Perrierite-(La)    La4 Si4 Mg5 Ti4 O22
La       41.682
Si        8.428
Mg        9.117
Ti       14.368
O        26.406
 
Feldspar    (Si2.26 Al1.74) Sr.84 Na.03 O8
Si       20.298
Al       15.013
