Grunerite    (Fe6.1 Mg.9) Si8 O23.5 F.5
Mg       12.328
Si        6.105
O        46.374
 
Osumilite    (K.71 Na.28 Ca.01) Mg.92 Fe1.28 Mn.16 Si10.2 Al4.44 O30.996 H9
K         2.648
Na        0.614
Ca        0.038
Mg        2.133
Fe        6.818
Mn        0.838
Si       27.322
Al       11.426
O        47.298
H         0.865
 
Iowaite    (Mg.8 Fe.2) O2.6 Cl.2 H1.01
Mg       24.208
Fe       13.906
O        51.791
Cl        8.828
H         1.267
 
Norbergite    Mg3 Si O4.2 F1.8 H1.76
Mg       35.713
Si       13.756
O        32.913
F        16.749
H         0.869
 
Piemontite    Ca1.87 Sr.13 Si3 Al1.97 Mn.72 Fe.31 O13 H
Ca       15.307
Sr        2.326
Si       17.209
Al       10.856
Mn        8.079
Fe        3.536
O        42.481
H         0.206
 
Gageite    Mg2.01 Mn4.99 Si2 O15 H12
Mg        7.739
Mn       43.428
Si        8.898
O        38.018
H         1.916
 
Pseudolaueite    Mn Fe2 P2 O18 H18
Mn       10.274
Fe       20.889
P        11.585
O        53.859
H         3.393
 
Microcline    K (Al.93 Si3.07) O8
K        14.043
Al        9.013
Si       30.970
O        45.974
 
Romerite    Fe3 S4 O30 H28
Fe       20.838
S        15.953
O        59.699
H         3.510
 
CaNb2O6    Ca Nb2 O6
Ca       12.451
Nb       57.726
O        29.823
 
Dufrenite    Fe6 P4 Ca O24 H8
Fe       37.603
P        13.904
Ca        4.498
O        43.091
H         0.905
 
Rockbridgeite    Fe5 P3 O17 H6
Fe       42.946
P        14.291
O        41.832
H         0.930
 
Thoreaulite    Sn Ta2 O7
Sn       20.032
Ta       61.069
O        18.899
 
Loweite    Na12 Mg7 S13 O67 H36
Na       13.996
Mg        8.631
S        21.148
O        54.383
H         1.841
 
Stilbite-Na    Si6.64 Al2.42 Ca.84 Na.75 O24.12 H18
Si       26.387
Al        9.239
Ca        4.763
Na        2.440
O        54.604
H         2.567
 
Howlite    Ca2 Si B5 O14 H5
Ca       20.483
Si        7.177
B        13.813
O        57.239
H         1.288
 
Ransomite    Cu Fe2 S4 O22 H12
Cu        9.519
Fe       16.731
S        19.213
O        52.725
H         1.812
 
Phoenicochroite    Pb2 Cr O5
Pb       75.843
Cr        9.516
O        14.641
 
Hemihedrite    Pb10 Zn Cr6 Si2 O32 F2
Pb       67.812
Zn        2.140
Cr       10.210
Si        1.838
O        16.756
F         1.244
 
Leucophoenicite    Mn7 Si3 O14 H2.06
Mn       55.342
Si       12.125
O        32.234
H         0.299
 
Nordite-(La)    Na3 Sr La Zn Si6 O17
Na        8.606
Sr       10.934
La       17.333
Zn        8.160
Si       21.028
O        33.940
 
Chondrodite    Mg4.95 Fe.05 Si2 O8.7 F1.3 H
Mg       34.956
Fe        0.811
Si       16.321
O        40.443
F         7.176
H         0.293
 
Pigeonite    Mg.78 Fe1.04 Ca.18 Si2 O6
Mg        8.019
Fe       24.567
Ca        3.051
Si       23.759
O        40.604
 
Manganostibite    Sb As Mn7 O12
Sb       15.746
As        9.689
Mn       49.735
O        24.830
 
Coquimbite    Al.9 Fe3.1 S6 O42 H36
Al        2.211
Fe       15.766
S        17.521
O        61.196
H         3.305
 
Epididymite    Na Be Si3 O8
Na        9.412
Be        3.690
Si       34.495
O        52.403
 
Vermiculite    Mg2.37 Fe.48 Al1.43 Si2.72 O16 C12 N2 H1.76
Mg        9.154
Fe        4.260
Al        6.131
Si       12.139
O        40.679
C        22.904
N         4.452
H         0.282
 
Strontioginorite    Sr Ca B14 O31 H16
Sr       11.075
Ca        5.066
B        19.131
O        62.690
H         2.038
 
Gedrite    Si6.24 Al2.96 Mg4.48 Fe1.26 Ca.04 Na.36 O24
Si       21.160
Al        9.643
Mg       13.147
Fe        8.496
Ca        0.194
Na        0.999
O        46.362
 
Gedrite    Si5.96 Al3.4 Mg3.05 Fe2.53 Ca.04 Na.54 O24
Si       19.184
Al       10.514
Mg        8.496
Fe       16.193
Ca        0.184
Na        1.423
O        44.007
 
Synadelphite    Mn9 As3 O22 H13
Mn       45.600
As       20.729
O        32.462
H         1.208
 
Pyrope    Mg2.625 Fe.355 Ca.09 Mn.015 Al1.352 Cr.572 Si2.988 O12
Mg       14.831
Fe        4.609
Ca        0.838
Mn        0.192
Al        8.480
Cr        6.914
Si       19.508
O        44.630
 
Kryzhanovskite    Fe3 P2 O11 H3
Fe       41.013
P        15.164
O        43.082
H         0.740
 
Cryolithionite    Na3 Al2 Li3 F12
Na       18.553
Al       14.516
Li        5.602
F        61.329
 
Buergerite    Na B3 Fe3 Si6 Al6 F O30 H3
Na        2.178
B         3.073
Fe       15.875
Si       15.967
Al       15.340
F         1.800
O        45.480
H         0.287
 
Kinoite    Cu2 Ca2 Si3 O12 H4
Cu       26.069
Ca       16.441
Si       17.282
O        39.381
H         0.827
 
Aenigmatite    Fe5 Ti Na2 Si6 O20
Fe       32.409
Ti        5.557
Na        5.337
Si       19.558
O        37.139
 
Aenigmatite    Fe5.16 Ti1.1 Na2 Si5.74 O20
Fe       33.199
Ti        6.068
Na        5.297
Si       18.572
O        36.864
 
Epidote    Ca2 Si3 Al2.17 Fe.81 O13 H.05
Ca       16.831
Si       17.692
Al       12.294
Fe        9.499
O        43.674
H         0.011
 
Allanite-(Ce)    Ca1.26 Ce.74 Si3 Al1.83 Fe1.17 O13 H.94
Ca        8.984
Ce       18.446
Si       14.990
Al        8.784
Fe       11.625
O        37.003
H         0.169
 
Hancockite    Ca1.13 Pb.5 Sr.25 Mn.12 Si3 Al2.02 Fe.98 O13 H.95
Ca        7.811
Pb       17.867
Sr        3.778
Mn        1.137
Si       14.531
Al        9.400
Fe        9.439
O        35.872
H         0.165
 
Wolframite    W Fe O4
W        60.538
Fe       18.389
O        21.073
 
Wolframite    W Fe O4
W        60.538
Fe       18.389
O        21.073
 
Butlerite    Fe S O7 H3
Fe       27.520
