id,symbolA,family,transition,symbolB,incidentEnergy,weightFractionA,kRatio,takeoffAngle
265,Au,M,a,Cu,12.00,0.2010,0.1470,40.00
266,Cu,K,a,Au,14.00,0.7990,0.8450,40.00
267,Cu,K,a,Au,12.00,0.7990,0.8530,40.00
268,Au,L,a,Ag,15.00,0.2243,0.2030,52.50
269,Au,L,a,Ag,20.00,0.2243,0.2030,52.50
270,Au,L,a,Ag,30.00,0.2243,0.2110,52.50
271,Au,L,a,Ag,40.00,0.2243,0.2160,52.50
272,Au,L,a,Ag,48.50,0.2243,0.2140,52.50
273,Au,L,a,Ag,15.00,0.4003,0.3680,52.50
274,Au,L,a,Ag,20.00,0.4003,0.3660,52.50
275,Au,L,a,Ag,30.00,0.4003,0.3760,52.50
276,Au,L,a,Ag,40.00,0.4003,0.3840,52.50
277,Au,L,a,Ag,48.50,0.4003,0.3850,52.50
278,Au,L,a,Ag,15.00,0.6005,0.5660,52.50
279,Au,L,a,Ag,20.00,0.6005,0.5730,52.50
280,Au,L,a,Ag,30.00,0.6005,0.5800,52.50
281,Au,L,a,Ag,40.00,0.6005,0.5840,52.50
282,Au,L,a,Ag,48.50,0.6005,0.5840,52.50
283,Au,L,a,Ag,15.00,0.8005,0.7890,52.50
284,Au,L,a,Ag,20.00,0.8005,0.7830,52.50
285,Au,L,a,Ag,30.00,0.8005,0.7830,52.50
286,Au,L,a,Ag,40.00,0.8005,0.7900,52.50
287,Au,L,a,Ag,48.50,0.8005,0.7880,52.50
288,Au,M,a,Ag,10.00,0.2243,0.2010,52.50
289,Au,M,a,Ag,20.00,0.2243,0.1970,52.50
290,Au,M,a,Ag,30.00,0.2243,0.1920,52.50
291,Au,M,a,Ag,40.00,0.2243,0.1850,52.50
292,Au,M,a,Ag,48.50,0.2243,0.1810,52.50
293,Au,M,a,Ag,10.00,0.4003,0.3620,52.50
294,Au,M,a,Ag,20.00,0.4003,0.3640,52.50
295,Au,M,a,Ag,30.00,0.4003,0.3510,52.50
296,Au,M,a,Ag,40.00,0.4003,0.3440,52.50
297,Au,M,a,Ag,48.50,0.4003,0.3370,52.50
298,Au,M,a,Ag,10.00,0.6005,0.5590,52.50
299,Au,M,a,Ag,20.00,0.6005,0.5510,52.50
300,Au,M,a,Ag,30.00,0.6005,0.5470,52.50
301,Au,M,a,Ag,40.00,0.6005,0.5410,52.50
302,Au,M,a,Ag,48.50,0.6005,0.5370,52.50
303,Au,M,a,Ag,10.00,0.8005,0.7710,52.50
304,Au,M,a,Ag,20.00,0.8005,0.7640,52.50
